client_code,product,push_notification
1,Кредитная карта,"Айгерим, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈61 203 ₸/мес. Оформить карту."
2,Кредитная карта,"Данияр, ваши топ-категории — Продукты питания, Кафе и рестораны, Отели. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈77 232 ₸/мес. Оформить карту."
3,Кредитная карта,"Сабина, ваши топ-категории — Продукты питания, Кафе и рестораны, АЗС. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈43 799 ₸/мес. Оформить карту."
4,Кредитная карта,"Тимур, ваши топ-категории — Путешествия, Продукты питания, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈78 670 ₸/мес. Оформить карту."
5,Кредитная карта,"Камилла, ваши топ-категории — Продукты питания, Отели, Путешествия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈80 847 ₸/мес. Оформить карту."
6,Кредитная карта,"Аян, ваши топ-категории — Продукты питания, Кафе и рестораны, Отели. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈79 652 ₸/мес. Оформить карту."
7,Кредитная карта,"Руслан, ваши топ-категории — Продукты питания, Кафе и рестораны, Косметика и Парфюмерия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈65 349 ₸/мес. Оформить карту."
8,Кредитная карта,"Мадина, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈93 827 ₸/мес. Оформить карту."
9,Кредитная карта,"Арман, ваши топ-категории — Продукты питания, Кафе и рестораны, Косметика и Парфюмерия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈69 593 ₸/мес. Оформить карту."
10,Кредитная карта,"Карина, ваши топ-категории — Продукты питания, Кафе и рестораны, Косметика и Парфюмерия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈75 615 ₸/мес. Оформить карту."
11,Кредитная карта,"Бауржан, ваши топ-категории — Продукты питания, Косметика и Парфюмерия, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈91 740 ₸/мес. Оформить карту."
12,Кредитная карта,"Жанар, ваши топ-категории — Продукты питания, Кафе и рестораны, Косметика и Парфюмерия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈70 335 ₸/мес. Оформить карту."
13,Кредитная карта,"Алина, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈54 113 ₸/мес. Оформить карту."
14,Кредитная карта,"Диас, ваши топ-категории — Продукты питания, Едим дома, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈60 915 ₸/мес. Оформить карту."
15,Кредитная карта,"Нурия, ваши топ-категории — Продукты питания, Кафе и рестораны, Играем дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈57 684 ₸/мес. Оформить карту."
16,Кредитная карта,"Ерасыл, ваши топ-категории — Продукты питания, Едим дома, Смотрим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈36 327 ₸/мес. Оформить карту."
17,Кредитная карта,"Жанель, ваши топ-категории — Продукты питания, Кафе и рестораны, Играем дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈61 378 ₸/мес. Оформить карту."
18,Кредитная карта,"Санжар, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈71 463 ₸/мес. Оформить карту."
19,Кредитная карта,"Азамат, ваши топ-категории — Продукты питания, Кафе и рестораны, Смотрим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈65 538 ₸/мес. Оформить карту."
20,Кредитная карта,"Анель, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈75 044 ₸/мес. Оформить карту."
21,Кредитная карта,"Павел, ваши топ-категории — Кафе и рестораны, Продукты питания, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈73 046 ₸/мес. Оформить карту."
22,Кредитная карта,"Аружан, ваши топ-категории — Продукты питания, Кафе и рестораны, Такси. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈78 156 ₸/мес. Оформить карту."
23,Кредитная карта,"Темирлан, ваши топ-категории — Продукты питания, Кафе и рестораны, АЗС. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈63 318 ₸/мес. Оформить карту."
24,Кредитная карта,"Гульмира, ваши топ-категории — Продукты питания, Кафе и рестораны, Едим дома. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈70 121 ₸/мес. Оформить карту."
25,Кредитная карта,"Адиль, ваши топ-категории — Продукты питания, Кафе и рестораны, АЗС. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈72 254 ₸/мес. Оформить карту."
26,Кредитная карта,"Маржан, ваши топ-категории — Путешествия, Продукты питания, Кафе и рестораны. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈82 465 ₸/мес. Оформить карту."
27,Кредитная карта,"Нурсултан, ваши топ-категории — Кафе и рестораны, Продукты питания, Путешествия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈69 785 ₸/мес. Оформить карту."
28,Кредитная карта,"Алтынай, ваши топ-категории — Кафе и рестораны, Отели, Продукты питания. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈77 843 ₸/мес. Оформить карту."
29,Кредитная карта,"Сая, ваши топ-категории — Продукты питания, Кафе и рестораны, Отели. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈76 058 ₸/мес. Оформить карту."
30,Кредитная карта,"Ербол, ваши топ-категории — Продукты питания, Кафе и рестораны, Путешествия. Кредитная карта даст до 10% в любимых и на онлайн‑сервисы, выгода ≈81 674 ₸/мес. Оформить карту."
